image_id,annotation_id,source_image,class,crop_path,x,y,width,height,original_width,original_height,split
12,12,D:\whitevision\data\raw\test\Heavy_Equipment_2269_jpg.rf.02f59a61bd1a928b84d5412acab949b8.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\12_annot12_mobile_crane.jpg,304,0,245,604,640,640,train
13,13,D:\whitevision\data\raw\test\Heavy_Equipment_5568_jpg.rf.02f76aba9fd59d6e6b9408e86b4cfe59.jpg,roller,D:\whitevision\data\crops\roller\13_annot13_roller.jpg,228,128,201,252,640,640,train
14,14,D:\whitevision\data\raw\test\Heavy_Equipment_4091_jpg.rf.033d6c094d2eb88be16c5b03b7a8cd37.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\14_annot14_bulldozer.jpg,45,232,399,312,640,640,test
14,15,D:\whitevision\data\raw\test\Heavy_Equipment_4091_jpg.rf.033d6c094d2eb88be16c5b03b7a8cd37.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\14_annot15_bulldozer.jpg,331,278,277,247,640,640,test
15,16,D:\whitevision\data\raw\test\Heavy_Equipment_1460_jpg.rf.0407b0f62704e7599efb81d1c0e0f7c3.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\15_annot16_dump_truck.jpg,188,135,324,414,640,640,test
15,17,D:\whitevision\data\raw\test\Heavy_Equipment_1460_jpg.rf.0407b0f62704e7599efb81d1c0e0f7c3.jpg,loader,D:\whitevision\data\crops\loader\15_annot17_loader.jpg,95,0,306,396,640,640,test
16,18,D:\whitevision\data\raw\test\Heavy_Equipment_1548_jpg.rf.042d06e310bef6a789ea4fce102422e7.jpg,loader,D:\whitevision\data\crops\loader\16_annot18_loader.jpg,0,43,558,597,640,640,train
16,19,D:\whitevision\data\raw\test\Heavy_Equipment_1548_jpg.rf.042d06e310bef6a789ea4fce102422e7.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\16_annot19_dump_truck.jpg,396,173,244,361,640,640,train
17,20,D:\whitevision\data\raw\test\Heavy_Equipment_4746_jpg.rf.049274c01c3fc393c7a3faec61b99e98.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\17_annot20_bulldozer.jpg,0,62,640,486,640,640,validation
20,21,D:\whitevision\data\raw\test\Heavy_Equipment_825_jpg.rf.05cc8afbe85341b8c522c5dd2595e2c8.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\20_annot21_dump_truck.jpg,20,259,346,368,640,640,train
20,22,D:\whitevision\data\raw\test\Heavy_Equipment_825_jpg.rf.05cc8afbe85341b8c522c5dd2595e2c8.jpg,loader,D:\whitevision\data\crops\loader\20_annot22_loader.jpg,70,134,570,441,640,640,train
21,23,D:\whitevision\data\raw\test\M_M_6334443-photo-camion_jpg.rf.03a10bfd203fd72877366c29dc8ef229.jpg,mixer_truck,D:\whitevision\data\crops\mixer_truck\21_annot23_mixer_truck.jpg,12,108,628,523,640,640,train
22,24,D:\whitevision\data\raw\test\Heavy_Equipment_931_jpg.rf.06139e15c2f2bf59e5f835a4ad032d47.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\22_annot24_mobile_crane.jpg,64,241,545,324,640,640,validation
23,25,D:\whitevision\data\raw\test\Heavy_Equipment_710_jpg.rf.069d2bd1bd3a4d95f8291ca365d5891f.jpg,excavator,D:\whitevision\data\crops\excavator\23_annot25_excavator.jpg,166,151,182,420,640,640,train
23,26,D:\whitevision\data\raw\test\Heavy_Equipment_710_jpg.rf.069d2bd1bd3a4d95f8291ca365d5891f.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\23_annot26_dump_truck.jpg,358,202,138,248,640,640,train
23,27,D:\whitevision\data\raw\test\Heavy_Equipment_710_jpg.rf.069d2bd1bd3a4d95f8291ca365d5891f.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\23_annot27_dump_truck.jpg,209,130,151,123,640,640,train
24,28,D:\whitevision\data\raw\test\Heavy_Equipment_1881_jpg.rf.06bc39ac7aa44e9aabf4e20cbdf45af0.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\24_annot28_mobile_crane.jpg,271,11,321,592,640,640,train
25,29,D:\whitevision\data\raw\test\Heavy_Equipment_3089_jpg.rf.0700e5595f6c33dde450c4aec4d2aa0e.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\25_annot29_bulldozer.jpg,22,0,596,640,640,640,train
26,30,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot30_dump_truck.jpg,436,216,83,105,640,640,test
26,31,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot31_dump_truck.jpg,323,255,85,116,640,640,test
26,32,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot32_dump_truck.jpg,188,251,107,83,640,640,test
26,33,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,excavator,D:\whitevision\data\crops\excavator\26_annot33_excavator.jpg,158,130,116,132,640,640,test
26,34,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,excavator,D:\whitevision\data\crops\excavator\26_annot34_excavator.jpg,211,130,207,291,640,640,test
26,35,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot35_dump_truck.jpg,398,95,35,46,640,640,test
26,36,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot36_dump_truck.jpg,431,64,22,39,640,640,test
26,37,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot37_dump_truck.jpg,475,89,19,46,640,640,test
26,38,D:\whitevision\data\raw\test\Heavy_Equipment_2956_jpg.rf.0772cd56ce989d2c20f100d38142a2b6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\26_annot38_dump_truck.jpg,408,52,20,24,640,640,test
27,39,D:\whitevision\data\raw\test\Heavy_Equipment_362_jpg.rf.097629305a231ac2ed6c633fced24005.jpg,roller,D:\whitevision\data\crops\roller\27_annot39_roller.jpg,417,203,194,293,640,640,validation
27,40,D:\whitevision\data\raw\test\Heavy_Equipment_362_jpg.rf.097629305a231ac2ed6c633fced24005.jpg,excavator,D:\whitevision\data\crops\excavator\27_annot40_excavator.jpg,197,300,29,80,640,640,validation
28,41,D:\whitevision\data\raw\test\Heavy_Equipment_1749_jpg.rf.08aa16b07323668af4b27a3930ee1df9.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\28_annot41_dump_truck.jpg,487,90,112,176,640,640,train
28,42,D:\whitevision\data\raw\test\Heavy_Equipment_1749_jpg.rf.08aa16b07323668af4b27a3930ee1df9.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\28_annot42_dump_truck.jpg,263,190,222,293,640,640,train
28,43,D:\whitevision\data\raw\test\Heavy_Equipment_1749_jpg.rf.08aa16b07323668af4b27a3930ee1df9.jpg,loader,D:\whitevision\data\crops\loader\28_annot43_loader.jpg,89,179,172,359,640,640,train
29,44,D:\whitevision\data\raw\test\Heavy_Equipment_3589_jpg.rf.094dd18ea9e8640d77ab37d2ffe7baca.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\29_annot44_bulldozer.jpg,99,69,423,220,640,640,train
30,45,D:\whitevision\data\raw\test\Heavy_Equipment_4335_jpg.rf.08281b9038ede52a5d5553b8146260f5.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\30_annot45_bulldozer.jpg,81,50,529,563,640,640,train
31,46,D:\whitevision\data\raw\test\Heavy_Equipment_3719_jpg.rf.0aaf2c4db6a01119b5633e151de5baca.jpg,grader,D:\whitevision\data\crops\grader\31_annot46_grader.jpg,22,128,280,436,640,640,train
31,47,D:\whitevision\data\raw\test\Heavy_Equipment_3719_jpg.rf.0aaf2c4db6a01119b5633e151de5baca.jpg,grader,D:\whitevision\data\crops\grader\31_annot47_grader.jpg,362,87,250,471,640,640,train
32,48,D:\whitevision\data\raw\test\M_H_images83_jpg.rf.090410ca2ce4eccb8af4f936dbed1cf0.jpg,mixer_truck,D:\whitevision\data\crops\mixer_truck\32_annot48_mixer_truck.jpg,0,106,640,463,640,640,train
33,49,D:\whitevision\data\raw\test\Heavy_Equipment_2456_jpg.rf.0b08e66f6d3df86b30ba6a99fecb5f6b.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\33_annot49_mobile_crane.jpg,104,0,240,582,640,640,validation
34,50,D:\whitevision\data\raw\test\Heavy_Equipment_2536_jpg.rf.0bc65142d76b6f5f045970ef61c4cf2b.jpg,excavator,D:\whitevision\data\crops\excavator\34_annot50_excavator.jpg,331,320,68,89,640,640,train
34,51,D:\whitevision\data\raw\test\Heavy_Equipment_2536_jpg.rf.0bc65142d76b6f5f045970ef61c4cf2b.jpg,loader,D:\whitevision\data\crops\loader\34_annot51_loader.jpg,396,383,27,20,640,640,train
34,52,D:\whitevision\data\raw\test\Heavy_Equipment_2536_jpg.rf.0bc65142d76b6f5f045970ef61c4cf2b.jpg,roller,D:\whitevision\data\crops\roller\34_annot52_roller.jpg,165,375,31,24,640,640,train
35,53,D:\whitevision\data\raw\test\Heavy_Equipment_4036_jpg.rf.0b9a3f7bb6bc33877d257296ebcd5176.jpg,grader,D:\whitevision\data\crops\grader\35_annot53_grader.jpg,47,134,593,506,640,640,train
36,54,D:\whitevision\data\raw\test\Heavy_Equipment_2071_jpg.rf.0c140cab2e6917dd02b0e009c9314520.jpg,excavator,D:\whitevision\data\crops\excavator\36_annot54_excavator.jpg,51,227,203,251,640,640,train
36,55,D:\whitevision\data\raw\test\Heavy_Equipment_2071_jpg.rf.0c140cab2e6917dd02b0e009c9314520.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\36_annot55_dump_truck.jpg,247,300,262,195,640,640,train
38,56,D:\whitevision\data\raw\test\Heavy_Equipment_3657_jpg.rf.0d069287a20f0f2bfb4a166567d774ba.jpg,grader,D:\whitevision\data\crops\grader\38_annot56_grader.jpg,0,16,640,570,640,640,train
39,57,D:\whitevision\data\raw\test\Heavy_Equipment_187_jpg.rf.0d4cf94e045c24793de34598b2515a03.jpg,excavator,D:\whitevision\data\crops\excavator\39_annot57_excavator.jpg,80,62,354,336,640,640,train
39,58,D:\whitevision\data\raw\test\Heavy_Equipment_187_jpg.rf.0d4cf94e045c24793de34598b2515a03.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\39_annot58_dump_truck.jpg,520,139,102,145,640,640,train
39,59,D:\whitevision\data\raw\test\Heavy_Equipment_187_jpg.rf.0d4cf94e045c24793de34598b2515a03.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\39_annot59_dump_truck.jpg,257,142,181,102,640,640,train
40,60,D:\whitevision\data\raw\test\Heavy_Equipment_5885_jpg.rf.0d85d2228907b5f7628548b25f61ada1.jpg,roller,D:\whitevision\data\crops\roller\40_annot60_roller.jpg,184,83,291,278,640,640,train
41,61,D:\whitevision\data\raw\test\Heavy_Equipment_6144_jpg.rf.0d43ed9d58a096f733dfa34fe64ba9d4.jpg,roller,D:\whitevision\data\crops\roller\41_annot61_roller.jpg,159,95,350,348,640,640,train
42,62,D:\whitevision\data\raw\test\Heavy_Equipment_6306_jpg.rf.0e0696ce6d7f1b9c4e75f3dffe672874.jpg,grader,D:\whitevision\data\crops\grader\42_annot62_grader.jpg,0,155,640,362,640,640,train
43,63,D:\whitevision\data\raw\test\Heavy_Equipment_4579_jpg.rf.0a0a71fca405b3c26a744db268efbf6c.jpg,grader,D:\whitevision\data\crops\grader\43_annot63_grader.jpg,42,40,598,490,640,640,test
44,64,D:\whitevision\data\raw\test\Heavy_Equipment_2614_jpg.rf.0e36d9a93928444cd184c3e2e8d660d6.jpg,loader,D:\whitevision\data\crops\loader\44_annot64_loader.jpg,295,194,145,220,640,640,train
44,65,D:\whitevision\data\raw\test\Heavy_Equipment_2614_jpg.rf.0e36d9a93928444cd184c3e2e8d660d6.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\44_annot65_dump_truck.jpg,0,107,167,347,640,640,train
45,66,D:\whitevision\data\raw\test\Heavy_Equipment_605_jpg.rf.0f089b6860e0778e8324b407f6cd498c.jpg,excavator,D:\whitevision\data\crops\excavator\45_annot66_excavator.jpg,1,0,526,510,640,640,train
45,67,D:\whitevision\data\raw\test\Heavy_Equipment_605_jpg.rf.0f089b6860e0778e8324b407f6cd498c.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\45_annot67_dump_truck.jpg,492,128,36,79,640,640,train
45,68,D:\whitevision\data\raw\test\Heavy_Equipment_605_jpg.rf.0f089b6860e0778e8324b407f6cd498c.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\45_annot68_dump_truck.jpg,514,144,71,90,640,640,train
45,69,D:\whitevision\data\raw\test\Heavy_Equipment_605_jpg.rf.0f089b6860e0778e8324b407f6cd498c.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\45_annot69_dump_truck.jpg,463,196,151,292,640,640,train
46,70,D:\whitevision\data\raw\test\Heavy_Equipment_3616_jpg.rf.108725697a444d717ffa254b3e6f3b7f.jpg,excavator,D:\whitevision\data\crops\excavator\46_annot70_excavator.jpg,0,45,640,493,640,640,train
47,71,D:\whitevision\data\raw\test\Heavy_Equipment_5236_jpg.rf.0f8b343baf8e7d76f401d936afb71014.jpg,roller,D:\whitevision\data\crops\roller\47_annot71_roller.jpg,232,68,176,364,640,640,test
48,72,D:\whitevision\data\raw\test\Heavy_Equipment_815_jpg.rf.0ede917b53d66343e5fcba4fbcd8f940.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\48_annot72_mobile_crane.jpg,317,0,250,594,640,640,train
49,73,D:\whitevision\data\raw\test\Heavy_Equipment_706_jpg.rf.10995d76034618205380f8d698453b74.jpg,excavator,D:\whitevision\data\crops\excavator\49_annot73_excavator.jpg,0,0,620,640,640,640,train
50,74,D:\whitevision\data\raw\test\Heavy_Equipment_4587_jpg.rf.0fd497241d83bf0c743a0ecd5a95141e.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\50_annot74_bulldozer.jpg,193,87,380,454,640,640,train
51,75,D:\whitevision\data\raw\test\Heavy_Equipment_250_jpg.rf.0e8b0a07683b959a10dab47deb657539.jpg,loader,D:\whitevision\data\crops\loader\51_annot75_loader.jpg,493,183,147,246,640,640,train
51,76,D:\whitevision\data\raw\test\Heavy_Equipment_250_jpg.rf.0e8b0a07683b959a10dab47deb657539.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\51_annot76_dump_truck.jpg,64,60,350,398,640,640,train
52,77,D:\whitevision\data\raw\test\Heavy_Equipment_5812_jpg.rf.106970b08db8721e75ac936031d24b7c.jpg,roller,D:\whitevision\data\crops\roller\52_annot77_roller.jpg,158,92,293,240,640,640,train
53,78,D:\whitevision\data\raw\test\Heavy_Equipment_877_jpg.rf.1116be114d94faaa54164dc377c0baa3.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\53_annot78_mobile_crane.jpg,94,0,523,640,640,640,train
54,79,D:\whitevision\data\raw\test\Heavy_Equipment_3661_jpg.rf.0e978c5ffce8e565c551014d2947b873.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\54_annot79_bulldozer.jpg,42,119,576,460,640,640,validation
55,80,D:\whitevision\data\raw\test\Heavy_Equipment_5703_jpg.rf.135a69eec15fecd3bea2b3e6fc40c7e7.jpg,roller,D:\whitevision\data\crops\roller\55_annot80_roller.jpg,160,0,301,449,640,640,test
57,81,D:\whitevision\data\raw\test\Heavy_Equipment_5693_jpg.rf.10d2ef43c08a7e7106fa569adffeb4e2.jpg,roller,D:\whitevision\data\crops\roller\57_annot81_roller.jpg,224,89,171,302,640,640,train
58,82,D:\whitevision\data\raw\test\Heavy_Equipment_4797_jpg.rf.12ce1c7f943b39bc1f45b8e5d265894d.jpg,grader,D:\whitevision\data\crops\grader\58_annot82_grader.jpg,0,35,622,559,640,640,train
59,83,D:\whitevision\data\raw\test\Heavy_Equipment_675_jpg.rf.12645ab69b8a286a13321b70d55933d9.jpg,loader,D:\whitevision\data\crops\loader\59_annot83_loader.jpg,137,0,290,335,640,640,test
60,84,D:\whitevision\data\raw\test\Heavy_Equipment_5268_jpg.rf.1274e700129169edee4d1a0014f03014.jpg,roller,D:\whitevision\data\crops\roller\60_annot84_roller.jpg,0,0,640,355,640,640,train
61,85,D:\whitevision\data\raw\test\Heavy_Equipment_5307_jpg.rf.1392b1c98ef4bf1fad571a8af2a907e7.jpg,roller,D:\whitevision\data\crops\roller\61_annot85_roller.jpg,235,80,168,270,640,640,train
62,86,D:\whitevision\data\raw\test\Heavy_Equipment_4222_jpg.rf.13a14fa9cdbf1f1440f1e587b710caa2.jpg,grader,D:\whitevision\data\crops\grader\62_annot86_grader.jpg,72,117,447,354,640,640,train
63,87,D:\whitevision\data\raw\test\Heavy_Equipment_2885_jpg.rf.1440ea7e377fc1b6ca7d67fa1d7836b5.jpg,excavator,D:\whitevision\data\crops\excavator\63_annot87_excavator.jpg,241,0,314,640,640,640,train
63,88,D:\whitevision\data\raw\test\Heavy_Equipment_2885_jpg.rf.1440ea7e377fc1b6ca7d67fa1d7836b5.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\63_annot88_dump_truck.jpg,131,55,173,303,640,640,train
65,89,D:\whitevision\data\raw\test\Heavy_Equipment_2237_jpg.rf.14100cf2e5a3f8d06e62e5f29e51598c.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\65_annot89_mobile_crane.jpg,129,119,336,521,640,640,train
66,90,D:\whitevision\data\raw\test\Heavy_Equipment_1124_jpg.rf.0f6c6727aeaf5e33167c105796cb5f79.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\66_annot90_dump_truck.jpg,187,231,157,203,640,640,train
66,91,D:\whitevision\data\raw\test\Heavy_Equipment_1124_jpg.rf.0f6c6727aeaf5e33167c105796cb5f79.jpg,loader,D:\whitevision\data\crops\loader\66_annot91_loader.jpg,317,262,215,177,640,640,train
67,92,D:\whitevision\data\raw\test\Heavy_Equipment_4076_jpg.rf.152a6df2b43cc1addf48bc4630da55b7.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\67_annot92_bulldozer.jpg,21,220,391,381,640,640,test
68,93,D:\whitevision\data\raw\test\Heavy_Equipment_5291_jpg.rf.15cb2c2a65516a7a66ca7bf7371c9776.jpg,roller,D:\whitevision\data\crops\roller\68_annot93_roller.jpg,187,89,288,340,640,640,train
69,94,D:\whitevision\data\raw\test\Heavy_Equipment_4693_jpg.rf.14a33ad768e376040a4601fe7bf7bb83.jpg,grader,D:\whitevision\data\crops\grader\69_annot94_grader.jpg,1,70,603,452,640,640,train
70,95,D:\whitevision\data\raw\test\Heavy_Equipment_4686_jpg.rf.16f381392cafc3d5b839bc0f30fa0643.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\70_annot95_bulldozer.jpg,72,100,536,538,640,640,validation
71,96,D:\whitevision\data\raw\test\Heavy_Equipment_1148_jpg.rf.16f704bafa61edb8154853b279a51556.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\71_annot96_dump_truck.jpg,96,171,306,333,640,640,test
72,97,D:\whitevision\data\raw\test\Heavy_Equipment_22_jpg.rf.172891fe8d76f82f18ba1d4da0b1a8e3.jpg,grader,D:\whitevision\data\crops\grader\72_annot97_grader.jpg,1,55,639,548,640,640,train
73,98,D:\whitevision\data\raw\test\Heavy_Equipment_563_jpg.rf.17365baa4f8a71055055f2a81c2c726b.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\73_annot98_mobile_crane.jpg,72,0,267,640,640,640,train
74,99,D:\whitevision\data\raw\test\M_M_8237_9098953363291_jpg.rf.10b12beeafe993eb10a3d18f0b227901.jpg,mixer_truck,D:\whitevision\data\crops\mixer_truck\74_annot99_mixer_truck.jpg,81,137,500,447,640,640,train
75,100,D:\whitevision\data\raw\test\Heavy_Equipment_5720_jpg.rf.17418249269a0ec03d30e6378e762601.jpg,roller,D:\whitevision\data\crops\roller\75_annot100_roller.jpg,43,0,508,340,640,640,train
76,101,D:\whitevision\data\raw\test\M_S_images46_jpg.rf.1724f647697ce869f3ff38b021bd307c.jpg,mixer_truck,D:\whitevision\data\crops\mixer_truck\76_annot101_mixer_truck.jpg,138,14,490,626,640,640,train
78,102,D:\whitevision\data\raw\test\Heavy_Equipment_5098_jpg.rf.1a0ec7522828625a4710fb50b558a3fa.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\78_annot102_bulldozer.jpg,0,6,628,626,640,640,validation
79,103,D:\whitevision\data\raw\test\Heavy_Equipment_2680_jpg.rf.1a78d1d9f2dfb290a9f1446e880ec0bd.jpg,excavator,D:\whitevision\data\crops\excavator\79_annot103_excavator.jpg,178,196,93,112,640,640,train
79,104,D:\whitevision\data\raw\test\Heavy_Equipment_2680_jpg.rf.1a78d1d9f2dfb290a9f1446e880ec0bd.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\79_annot104_dump_truck.jpg,302,279,168,137,640,640,train
80,105,D:\whitevision\data\raw\test\Heavy_Equipment_2111_jpg.rf.1abcea5191cae278664cae6428a95c69.jpg,excavator,D:\whitevision\data\crops\excavator\80_annot105_excavator.jpg,137,168,247,226,640,640,validation
80,106,D:\whitevision\data\raw\test\Heavy_Equipment_2111_jpg.rf.1abcea5191cae278664cae6428a95c69.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\80_annot106_dump_truck.jpg,276,204,160,118,640,640,validation
80,107,D:\whitevision\data\raw\test\Heavy_Equipment_2111_jpg.rf.1abcea5191cae278664cae6428a95c69.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\80_annot107_mobile_crane.jpg,16,16,88,82,640,640,validation
81,108,D:\whitevision\data\raw\test\Heavy_Equipment_614_jpg.rf.1b23c2015951f9d1be847fc05af89888.jpg,grader,D:\whitevision\data\crops\grader\81_annot108_grader.jpg,0,64,610,541,640,640,train
81,109,D:\whitevision\data\raw\test\Heavy_Equipment_614_jpg.rf.1b23c2015951f9d1be847fc05af89888.jpg,roller,D:\whitevision\data\crops\roller\81_annot109_roller.jpg,14,36,309,332,640,640,train
82,110,D:\whitevision\data\raw\test\Heavy_Equipment_4264_jpg.rf.1cc61b53e4e357bfcc81d013f6d8d35e.jpg,grader,D:\whitevision\data\crops\grader\82_annot110_grader.jpg,65,86,533,448,640,640,train
83,111,D:\whitevision\data\raw\test\Heavy_Equipment_1455_jpg.rf.1cfe2447f9594f37291c5bc5e1f6eee6.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\83_annot111_mobile_crane.jpg,134,91,475,415,640,640,train
84,112,D:\whitevision\data\raw\test\Heavy_Equipment_1440_jpg.rf.1f3a1e4c46b9e003edf82d70f555053d.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\84_annot112_dump_truck.jpg,0,15,640,625,640,640,train
85,113,D:\whitevision\data\raw\test\Heavy_Equipment_489_jpg.rf.1d052d8df708c2db48d83406e459aae1.jpg,excavator,D:\whitevision\data\crops\excavator\85_annot113_excavator.jpg,221,30,248,504,640,640,train
85,114,D:\whitevision\data\raw\test\Heavy_Equipment_489_jpg.rf.1d052d8df708c2db48d83406e459aae1.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\85_annot114_dump_truck.jpg,0,382,268,204,640,640,train
85,115,D:\whitevision\data\raw\test\Heavy_Equipment_489_jpg.rf.1d052d8df708c2db48d83406e459aae1.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\85_annot115_dump_truck.jpg,17,97,41,118,640,640,train
86,116,D:\whitevision\data\raw\test\Heavy_Equipment_3680_jpg.rf.1be80cb0e1aac2788d5c4451537dbff4.jpg,grader,D:\whitevision\data\crops\grader\86_annot116_grader.jpg,15,10,615,620,640,640,validation
87,117,D:\whitevision\data\raw\test\Heavy_Equipment_5069_jpg.rf.1faa07d993f420f1da0662b484b338f9.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\87_annot117_bulldozer.jpg,0,22,629,618,640,640,train
88,118,D:\whitevision\data\raw\test\Heavy_Equipment_1523_jpg.rf.1d5ec11151310c7faf8bccbcde46563b.jpg,loader,D:\whitevision\data\crops\loader\88_annot118_loader.jpg,64,0,467,640,640,640,validation
